academic_year,ay_start,region,enrollees,enrollees_elem,enrollees_jhs,enrollees_shs,teachers,teachers_elem,teachers_jhs,teachers_shs,pupils_per_teacher,source
SY 2010-2011,2010,Region I - Ilocos Region,1008026,703219,304807,0,30636,21604,9032,0,32.9,"Kaggle johnjoemmelrodelas/philippine-public-education-data (DepEd enrollment and teacher counts, public schools)"
SY 2010-2011,2010,Region II - Cagayan Valley,645903,450855,195048,0,20583,14728,5855,0,31.38,"Kaggle johnjoemmelrodelas/philippine-public-education-data (DepEd enrollment and teacher counts, public schools)"
SY 2010-2011,2010,Region III - Central Luzon,2012989,1429093,583896,0,49486,34952,14534,0,40.68,"Kaggle johnjoemmelrodelas/philippine-public-education-data (DepEd enrollment and teacher counts, public schools)"
SY 2010-2011,2010,Region IV-A - CALABARZON,2358091,1660065,698026,0,53383,37190,16193,0,44.17,"Kaggle johnjoemmelrodelas/philippine-public-education-data (DepEd enrollment and teacher counts, public schools)"
SY 2010-2011,2010,Region IV-B - MIMAROPA,694448,508155,186293,0,17853,12900,4953,0,38.9,"Kaggle johnjoemmelrodelas/philippine-public-education-data (DepEd enrollment and teacher counts, public schools)"
SY 2010-2011,2010,Region V - Bicol Region,1455238,1074029,381209,0,37569,27056,10513,0,38.74,"Kaggle johnjoemmelrodelas/philippine-public-education-data (DepEd enrollment and teacher counts, public schools)"
SY 2010-2011,2010,Region VI - Western Visayas,1562734,1091834,470900,0,46633,32774,13859,0,33.51,"Kaggle johnjoemmelrodelas/philippine-public-education-data (DepEd enrollment and teacher counts, public schools)"
SY 2010-2011,2010,Region VII - Central Visayas,1510158,1098109,412049,0,35806,25940,9866,0,42.18,"Kaggle johnjoemmelrodelas/philippine-public-education-data (DepEd enrollment and teacher counts, public schools)"
SY 2010-2011,2010,Region VIII - Eastern Visayas,1066238,777899,288339,0,29212,21860,7352,0,36.5,"Kaggle johnjoemmelrodelas/philippine-public-education-data (DepEd enrollment and teacher counts, public schools)"
SY 2010-2011,2010,Region IX - Zamboanga Peninsula,837306,627117,210189,0,22307,16604,5703,0,37.54,"Kaggle johnjoemmelrodelas/philippine-public-education-data (DepEd enrollment and teacher counts, public schools)"
SY 2010-2011,2010,Region X - Northern Mindanao,929166,699666,229500,0,23978,17999,5979,0,38.75,"Kaggle johnjoemmelrodelas/philippine-public-education-data (DepEd enrollment and teacher counts, public schools)"
SY 2010-2011,2010,Region XI - Davao Region,943488,698488,245000,0,23767,17148,6619,0,39.7,"Kaggle johnjoemmelrodelas/philippine-public-education-data (DepEd enrollment and teacher counts, public schools)"
SY 2010-2011,2010,Region XII - Soccsksargen,903242,671948,231294,0,21792,15761,6031,0,41.45,"Kaggle johnjoemmelrodelas/philippine-public-education-data (DepEd enrollment and teacher counts, public schools)"
SY 2010-2011,2010,CARAGA - CARAGA,600633,443507,157126,0,15840,11569,4271,0,37.92,"Kaggle johnjoemmelrodelas/philippine-public-education-data (DepEd enrollment and teacher counts, public schools)"
SY 2010-2011,2010,BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,943883,766468,177415,0,17649,14317,3332,0,53.48,"Kaggle johnjoemmelrodelas/philippine-public-education-data (DepEd enrollment and teacher counts, public schools)"
SY 2010-2011,2010,CAR - Cordillera Administrative Region,323633,236816,86817,0,10815,7848,2967,0,29.92,"Kaggle johnjoemmelrodelas/philippine-public-education-data (DepEd enrollment and teacher counts, public schools)"
SY 2010-2011,2010,NCR - National Capital Region,1973966,1301504,672462,0,50524,31314,19210,0,39.07,"Kaggle johnjoemmelrodelas/philippine-public-education-data (DepEd enrollment and teacher counts, public schools)"
SY 2011-2012,2011,Region I - Ilocos Region,1017790,717753,300037,0,31061,21790,9271,0,32.77,"Kaggle johnjoemmelrodelas/philippine-public-education-data (DepEd enrollment and teacher counts, public schools)"
SY 2011-2012,2011,Region II - Cagayan Valley,680738,486329,194409,0,20466,14521,5945,0,33.26,"Kaggle johnjoemmelrodelas/philippine-public-education-data (DepEd enrollment and teacher counts, public schools)"
SY 2011-2012,2011,Region III - Central Luzon,2052434,1461183,591251,0,50250,35418,14832,0,40.84,"Kaggle johnjoemmelrodelas/philippine-public-education-data (DepEd enrollment and teacher counts, public schools)"
SY 2011-2012,2011,Region IV-A - CALABARZON,2457991,1742772,715219,0,54946,37501,17445,0,44.73,"Kaggle johnjoemmelrodelas/philippine-public-education-data (DepEd enrollment and teacher counts, public schools)"
SY 2011-2012,2011,Region IV-B - MIMAROPA,726081,537109,188972,0,18349,13215,5134,0,39.57,"Kaggle johnjoemmelrodelas/philippine-public-education-data (DepEd enrollment and teacher counts, public schools)"
SY 2011-2012,2011,Region V - Bicol Region,1508878,1119296,389582,0,38043,27299,10744,0,39.66,"Kaggle johnjoemmelrodelas/philippine-public-education-data (DepEd enrollment and teacher counts, public schools)"
SY 2011-2012,2011,Region VI - Western Visayas,1629709,1159357,470352,0,47264,33046,14218,0,34.48,"Kaggle johnjoemmelrodelas/philippine-public-education-data (DepEd enrollment and teacher counts, public schools)"
SY 2011-2012,2011,Region VII - Central Visayas,1565828,1150513,415315,0,36434,26232,10202,0,42.98,"Kaggle johnjoemmelrodelas/philippine-public-education-data (DepEd enrollment and teacher counts, public schools)"
SY 2011-2012,2011,Region VIII - Eastern Visayas,1097894,805453,292441,0,29550,22003,7547,0,37.15,"Kaggle johnjoemmelrodelas/philippine-public-education-data (DepEd enrollment and teacher counts, public schools)"
SY 2011-2012,2011,Region IX - Zamboanga Peninsula,872413,659331,213082,0,22620,16800,5820,0,38.57,"Kaggle johnjoemmelrodelas/philippine-public-education-data (DepEd enrollment and teacher counts, public schools)"
SY 2011-2012,2011,Region X - Northern Mindanao,991111,760533,230578,0,24311,18188,6123,0,40.77,"Kaggle johnjoemmelrodelas/philippine-public-education-data (DepEd enrollment and teacher counts, public schools)"
SY 2011-2012,2011,Region XI - Davao Region,992382,745378,247004,0,23989,17233,6756,0,41.37,"Kaggle johnjoemmelrodelas/philippine-public-education-data (DepEd enrollment and teacher counts, public schools)"
SY 2011-2012,2011,Region XII - Soccsksargen,952829,718458,234371,0,22339,16019,6320,0,42.65,"Kaggle johnjoemmelrodelas/philippine-public-education-data (DepEd enrollment and teacher counts, public schools)"
SY 2011-2012,2011,CARAGA - CARAGA,614176,455911,158265,0,16270,11947,4323,0,37.75,"Kaggle johnjoemmelrodelas/philippine-public-education-data (DepEd enrollment and teacher counts, public schools)"
SY 2011-2012,2011,BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,945478,770996,174482,0,16308,13104,3204,0,57.98,"Kaggle johnjoemmelrodelas/philippine-public-education-data (DepEd enrollment and teacher counts, public schools)"
SY 2011-2012,2011,CAR - Cordillera Administrative Region,334208,247740,86468,0,11043,7999,3044,0,30.26,"Kaggle johnjoemmelrodelas/philippine-public-education-data (DepEd enrollment and teacher counts, public schools)"
SY 2011-2012,2011,NCR - National Capital Region,2034267,1360030,674237,0,51228,31640,19588,0,39.71,"Kaggle johnjoemmelrodelas/philippine-public-education-data (DepEd enrollment and teacher counts, public schools)"
SY 2012-2013,2012,Region I - Ilocos Region,1029352,725305,304047,0,32257,22235,10022,0,31.91,"Kaggle johnjoemmelrodelas/philippine-public-education-data (DepEd enrollment and teacher counts, public schools)"
SY 2012-2013,2012,Region II - Cagayan Valley,694525,501138,193387,0,21898,15284,6614,0,31.72,"Kaggle johnjoemmelrodelas/philippine-public-education-data (DepEd enrollment and teacher counts, public schools)"
SY 2012-2013,2012,Region III - Central Luzon,2089055,1486751,602304,0,53127,36417,16710,0,39.32,"Kaggle johnjoemmelrodelas/philippine-public-education-data (DepEd enrollment and teacher counts, public schools)"
SY 2012-2013,2012,Region IV-A - CALABARZON,2539295,1801832,737463,0,58952,39513,19439,0,43.07,"Kaggle johnjoemmelrodelas/philippine-public-education-data (DepEd enrollment and teacher counts, public schools)"
SY 2012-2013,2012,Region IV-B - MIMAROPA,735278,541055,194223,0,19370,13622,5748,0,37.96,"Kaggle johnjoemmelrodelas/philippine-public-education-data (DepEd enrollment and teacher counts, public schools)"
SY 2012-2013,2012,Region V - Bicol Region,1517454,1120452,397002,0,40306,28136,12170,0,37.65,"Kaggle johnjoemmelrodelas/philippine-public-education-data (DepEd enrollment and teacher counts, public schools)"
SY 2012-2013,2012,Region VI - Western Visayas,1651248,1182696,468552,0,49245,33766,15479,0,33.53,"Kaggle johnjoemmelrodelas/philippine-public-education-data (DepEd enrollment and teacher counts, public schools)"
SY 2012-2013,2012,Region VII - Central Visayas,1595563,1167896,427667,0,39333,27307,12026,0,40.57,"Kaggle johnjoemmelrodelas/philippine-public-education-data (DepEd enrollment and teacher counts, public schools)"
SY 2012-2013,2012,Region VIII - Eastern Visayas,1104286,804074,300212,0,31835,22736,9099,0,34.69,"Kaggle johnjoemmelrodelas/philippine-public-education-data (DepEd enrollment and teacher counts, public schools)"
SY 2012-2013,2012,Region IX - Zamboanga Peninsula,871744,661330,210414,0,23708,17217,6491,0,36.77,"Kaggle johnjoemmelrodelas/philippine-public-education-data (DepEd enrollment and teacher counts, public schools)"
SY 2012-2013,2012,Region X - Northern Mindanao,989484,758256,231228,0,25704,18831,6873,0,38.5,"Kaggle johnjoemmelrodelas/philippine-public-education-data (DepEd enrollment and teacher counts, public schools)"
SY 2012-2013,2012,Region XI - Davao Region,1017529,766839,250690,0,25375,17832,7543,0,40.1,"Kaggle johnjoemmelrodelas/philippine-public-education-data (DepEd enrollment and teacher counts, public schools)"
SY 2012-2013,2012,Region XII - Soccsksargen,960687,723918,236769,0,23715,16794,6921,0,40.51,"Kaggle johnjoemmelrodelas/philippine-public-education-data (DepEd enrollment and teacher counts, public schools)"
SY 2012-2013,2012,CARAGA - CARAGA,616332,456582,159750,0,17519,12358,5161,0,35.18,"Kaggle johnjoemmelrodelas/philippine-public-education-data (DepEd enrollment and teacher counts, public schools)"
SY 2012-2013,2012,BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,876229,716128,160101,0,18109,14402,3707,0,48.39,"Kaggle johnjoemmelrodelas/philippine-public-education-data (DepEd enrollment and teacher counts, public schools)"
SY 2012-2013,2012,CAR - Cordillera Administrative Region,334308,246875,87433,0,11579,8278,3301,0,28.87,"Kaggle johnjoemmelrodelas/philippine-public-education-data (DepEd enrollment and teacher counts, public schools)"
SY 2012-2013,2012,NCR - National Capital Region,2052523,1371867,680656,0,55542,33103,22439,0,36.95,"Kaggle johnjoemmelrodelas/philippine-public-education-data (DepEd enrollment and teacher counts, public schools)"
SY 2013-2014,2013,Region I - Ilocos Region,1040306,728910,311396,0,34210,22779,11431,0,30.41,"Kaggle johnjoemmelrodelas/philippine-public-education-data (DepEd enrollment and teacher counts, public schools)"
SY 2013-2014,2013,Region II - Cagayan Valley,704490,508954,195536,0,23802,16038,7764,0,29.6,"Kaggle johnjoemmelrodelas/philippine-public-education-data (DepEd enrollment and teacher counts, public schools)"
